No.	时间（s）	Dev1/ai0-1-测振（mm/s）	VH01-V1-Dev1/ai0一次积分（μm）
1	0	0.125899198339654	0
2	0.001	0.0790189133456018	0.102459055842628
3	0.002	0.0321386283688831	0.158037826699871
4	0.003	-0.0616219415326508	0.143296170117987
5	0.004	-0.155382511365144	0.0347939436690896
6	0.005	-0.249143081128791	-0.167468852577878
7	0.006	-0.358530412432962	-0.471305599358754
8	0.007	-0.40541069724908	-0.853276154199776
9	0.008	-0.577305074762232	-1.34463404020543
10	0.009	-0.577305074762232	-1.92193911496766
11	0.01	-0.717945928921212	-2.56956461680939
12	0.011	-0.858586782927937	-3.35783097273396
13	0.012	-0.921093829104449	-4.24767127875015
14	0.013	-1.03048115984147	-5.22345877322311
15	0.014	-1.0773614444151	-6.27738007535139
16	0.015	-1.20237553652975	-7.41724856582382
17	0.016	-1.2648825825426	-8.65087762535999
18	0.017	-1.3430163900171	-9.95482711163984
19	0.018	-1.38989667447967	-11.3212836438882
20	0.019	-1.452403720404	-12.7424338413301
21	0.02	-1.452403720404	-14.1948375617341
22	0.021	-1.53053752776808	-15.6863081858201
23	0.022	-1.57741781216454	-17.2402858557864
24	0.023	-1.57741781216454	-18.8177036679509
25	0.024	-1.56179105070088	-20.3873080993836
26	0.025	-1.59304457362636	-21.9647259115473
27	0.026	-1.57741781216454	-23.5499571044427
28	0.027	-1.60867133508635	-25.1430016780682
29	0.028	-1.49928400482795	-26.6969793480253
30	0.029	-1.49928400482795	-28.1962633528533
31	0.03	-1.48365724335514	-29.6877339769448
32	0.031	-1.43677695892567	-31.1479510780852
33	0.032	-1.32738962852589	-32.530034371811
34	0.033	-1.35864315150646	-33.8730507618272
35	0.034	-1.23362905953987	-35.1691868673503
36	0.035	-1.20237553652975	-36.3871891653852
37	0.036	-1.15549525200067	-37.5661245596504
38	0.037	-1.06173468289242	-38.6747395270969
39	0.038	-1.09298820593593	-39.7521009715111
40	0.039	-0.952347352181494	-40.7747687505698
41	0.04	-0.921093829104449	-41.7114893412128
42	0.041	-0.858586782927937	-42.601329647229
43	0.042	-0.764826213607005	-43.4130361454964
44	0.043	-0.702319167355523	-44.1466088359777
45	0.044	-0.62418535949885	-44.8098610994049
46	0.045	-0.592931836342992	-45.4184196973258
47	0.046	-0.530424790008623	-45.9800980105016
48	0.047	-0.40541069724908	-46.4480157541305
49	0.048	-0.311650127599739	-46.8065461665549
50	0.049	-0.249143081128791	-47.0869427709191
51	0.05	-0.171009272997194	-47.2970189479821
52	0.051	-0.09287546481781	-47.4289613168896
53	0.052	0.0321386283688831	-47.4593297351141
54	0.053	0.0946456750083588	-47.3959375834255
55	0.054	0.23528653005999	-47.2309714808913
56	0.055	0.313420338489692	-46.9566180466165
57	0.056	0.407180908669351	-46.5963174230369
58	0.057	0.532195002351185	-46.1266294675267
59	0.058	0.563448525791149	-45.5788077034555
60	0.059	0.688462619629239	-44.9528521307453
61	0.06	0.782223190090159	-44.2175092258856
62	0.061	0.907237284148228	-43.3727789887664
63	0.062	1.03225137833264	-42.403034657526
64	0.063	1.04787814011459	-41.3629698983024
65	0.064	1.12601194905413	-40.276024853718
66	0.065	1.18851899624152	-39.1187593810702
67	0.066	1.25102604346076	-37.898986861219
68	0.067	1.34478661434945	-36.6010805323139
69	0.068	1.376040137995	-35.2406671561417
70	0.069	1.45417394714391	-33.8255601135722
71	0.07	1.51668099449914	-32.3401326427507
72	0.071	1.56356128003666	-30.8000115054828
73	0.072	1.57918804188653	-29.2286368445212
74	0.073	1.5948148037384	-27.6416354217087
75	0.074	1.56356128003666	-26.0624473798212
76	0.075	1.61044156559229	-24.4754459570067
77	0.076	1.53230775634297	-22.9040712960391
78	0.077	1.56356128003666	-21.3561367778493
79	0.078	1.48542747081751	-19.8316424024222
80	0.079	1.50105423265733	-18.3384015506848
81	0.08	1.46980070897971	-16.8529740798662
82	0.081	1.376040137995	-15.4300536563789
83	0.082	1.376040137995	-14.0540135183839
84	0.083	1.26665280527055	-12.7326670467511
85	0.084	1.26665280527055	-11.4660142414806
86	0.085	1.17289223444169	-10.2462417216244
87	0.086	1.11038518726226	-9.10460301077246
88	0.087	1.07913166368446	-8.00984458529911
89	0.088	0.985371092998649	-6.97759320695755
90	0.089	0.938490807682468	-6.015662256617
91	0.09	0.860356998861671	-5.11623835334493
92	0.091	0.813476713592857	-4.27932149711766
93	0.092	0.797849951840524	-3.47365816440097
94	0.093	0.657209096157966	-2.74612864040173
95	0.094	0.594702049238928	-2.12017306770328
96	0.095	0.563448525791149	-1.54109778018824
97	0.096	0.48531471720588	-1.01671615868972
98	0.097	0.422807670372763	-0.562654964900403
99	0.098	0.360300623570781	-0.171100817928631
100	0.099	0.26654005342606	0.14231952056979
101	0.1	0.172779483351065	0.361979288958352
102	0.101	0.0946456750083588	0.495691868138064
103	0.102	0.0165118667138246	0.551270638999156
104	0.103	-0.0303684182398204	0.544342363236158
105	0.104	-0.124128988095305	0.467093660068595
106	0.105	-0.249143081128791	0.280457625456547
107	0.106	-0.374157174040234	-0.0311925021279655
108	0.107	-0.467917743644006	-0.452229960970085
109	0.108	-0.592931836342992	-0.982654750963584
110	0.109	-0.639812121073951	-1.59902672967206
111	0.11	-0.749199452046952	-2.29353251623251
112	0.111	-0.842960021379132	-3.08961225294555
113	0.112	-0.967974113717216	-3.99507932049372
